,low,high,open,close,volume,nbdi
2016-01-01,432.41,437.56,435.67,435.4,3276.70962113,114.1595
2016-01-02,425.02,435.75,435.4,431.91,3904.33531811,114.1595
2016-01-03,431.37,435.79,431.9,433.85,5894.44572317,114.1595
2016-01-04,430.0,435.64,433.84,433.34,5150.10947569,114.1595
2016-01-05,428.15,433.46,433.32,430.87,5476.95995944,114.2649
2016-01-06,430.64,460.15,430.66,459.07,13907.20172902,114.6177
2016-01-07,447.53,464.4,459.07,454.44,8347.0950396,114.6516
2016-01-08,447.66,456.0,454.41,450.38,4247.63965095,115.0095
2016-01-09,442.96,451.39,450.39,449.99,3954.32239952,115.0095
2016-01-10,445.88,452.65,449.99,449.19,5597.63718315,115.0095
2016-01-11,431.83,449.44,449.26,434.01,6596.94545292,115.0139
2016-01-12,425.0,437.5,434.01,432.77,9009.15070912,115.3128
2016-01-13,428.0,435.27,432.7,430.03,5673.63296245,115.1425
2016-01-14,357.3,430.29,430.04,357.53,28641.67358553,115.3846
2016-01-15,350.92,391.0,357.59,388.7,17985.23878449,115.7404
2016-01-16,372.0,391.0,388.7,378.46,8278.40179348,115.7404
2016-01-17,370.1,386.1,378.47,384.89,8711.45975604,115.7404
2016-01-18,370.0,385.5,384.79,375.27,8133.36701034,115.7404
2016-01-19,369.0,425.1,375.28,418.54,13874.69165931,115.8155
2016-01-20,403.21,424.78,418.89,409.38,8739.16341887,116.3498
2016-01-21,373.86,413.99,409.02,382.9,13430.10303924,115.9833
2016-01-22,382.55,398.72,382.93,387.5,6310.0300222,115.9833
2016-01-23,387.49,406.93,387.5,403.05,3550.83177183,115.9833
2016-01-24,386.41,403.04,403.04,391.4,6491.99981186,115.9833
2016-01-25,387.78,397.0,391.4,391.54,6981.00990035,115.9833
2016-01-26,390.7,397.18,391.7,394.79,6324.16419027,115.9833
2016-01-27,377.12,395.0,394.6,379.61,9103.71549887,115.5087
2016-01-28,363.25,385.05,379.63,378.68,12105.31043689,115.2224
2016-01-29,375.0,382.04,378.68,378.46,4154.2964224,115.5731
2016-01-30,365.0,382.5,378.46,367.95,5506.77681302,115.5731
2016-01-31,366.26,379.0,367.89,371.33,7931.22922922,115.5731
2016-02-01,371.17,374.41,371.33,372.93,6856.21815799,115.3331
2016-02-02,365.63,373.01,372.93,368.87,7147.95657328,115.553
2016-02-03,368.74,390.63,368.87,387.99,8887.7572324,114.6144
2016-02-04,382.99,389.36,387.99,384.5,7443.92933224,113.6012
2016-02-05,370.05,384.54,384.44,375.44,6276.66473729,114.2935
2016-02-06,373.24,379.81,375.44,377.49,4164.50911131,114.2935
2016-02-07,370.5,379.35,377.47,371.14,7094.20857777,114.2935
2016-02-08,370.13,374.93,371.02,372.68,8424.5942075,114.4351
2016-02-09,371.87,383.34,372.76,378.44,9736.03682475,114.127
2016-02-10,360.0,379.5,378.49,378.23,10413.06371586,114.2877
2016-02-11,377.46,382.05,378.23,382.05,6162.21762337,114.1845
2016-02-12,381.99,396.0,382.05,391.0,5978.85647171,114.2992
2016-02-13,391.0,406.92,391.0,406.59,7557.25485027,114.2992
2016-02-14,394.03,409.09,406.62,398.95,6568.48538284,114.2992
2016-02-15,390.0,407.5,398.94,407.42,5649.43557069,114.2992
2016-02-16,405.69,420.13,407.41,415.2,8707.1340027,114.4905
2016-02-17,415.01,423.2,415.18,421.19,6518.6376118,113.8634
2016-02-18,416.0,422.0,421.18,420.72,5800.21753183,113.8897
2016-02-19,420.09,444.03,420.72,437.46,9368.59512888,113.9558
2016-02-20,426.01,448.7,438.04,438.56,7111.14458641,113.9558
2016-02-21,430.95,439.0,438.56,437.55,5131.79988328,113.9558
2016-02-22,414.16,440.9,437.45,419.97,9159.03224463,113.8232
2016-02-23,410.0,425.6,420.32,423.94,7232.28236528,114.177
2016-02-24,418.6,426.44,423.87,423.54,6049.81811526,114.1716
2016-02-25,419.53,430.85,423.51,430.85,6782.03746528,113.9222
2016-02-26,430.14,434.97,430.84,433.12,5520.65526894,114.3708
2016-02-27,423.0,436.07,433.09,433.73,5149.93009024,114.3708
2016-02-28,431.13,442.0,433.73,436.44,7578.8900694,114.3708
2016-02-29,427.5,437.78,436.41,433.08,7580.23306278,114.2418
2016-03-01,418.36,435.36,433.03,420.39,7437.60843525,113.9265
2016-03-02,408.63,422.8,420.44,418.8,11833.72087093,113.7965
2016-03-03,405.5,422.21,418.76,407.35,8961.10957184,113.2482
2016-03-04,381.09,408.83,407.38,396.08,14903.33778457,112.6387
