day,low,high,open,close,volume
2016-10-26,673.54,692.41,674.0,691.21,6771.85374768
2016-10-25,652.51,678.0,654.3,674.0,5843.50141279
2016-10-24,648.99,657.5,649.98,654.3,4814.88839172
2016-10-23,645.81,652.93,651.05,649.98,3670.49141848
2016-10-22,645.33,655.8,653.03,651.04,3075.73956709
2016-10-21,629.32,658.0,630.67,652.75,4586.7845212
2016-10-20,627.5,633.41,628.19,630.83,4162.76985048
2016-10-19,626.01,629.99,629.79,628.05,4170.46626703
2016-10-18,625.6,636.99,635.12,629.79,4465.14828834
2016-10-17,632.15,640.0,639.56,635.11,4126.80597819
2016-10-16,636.27,643.47,642.1,639.56,3950.24167083
2016-10-15,637.87,643.91,638.16,641.92,2547.64969894
2016-10-14,636.0,639.99,638.03,638.16,683.79807092
2016-10-13,624.08,639.99,635.8,638.03,4365.86702469
2016-10-12,632.0,639.85,635.9,635.66,3845.21461185
2016-10-11,631.91,643.58,642.3,635.79,4334.7387028
2016-10-10,618.13,647.03,618.72,642.12,6316.50262935
2016-10-09,615.46,619.2,617.43,618.72,3896.59582637
2016-10-08,617.0,619.59,619.46,617.42,2329.86207734
2016-10-07,617.55,620.0,618.11,619.5,2793.95535361
2016-10-06,609.89,618.7,611.78,617.98,5119.98889954
2016-10-05,610.3,613.39,613.16,611.88,3920.07531583
2016-10-04,609.22,614.24,610.33,613.16,4454.40369502
2016-10-03,606.93,613.23,612.99,610.34,5060.86312789
2016-10-02,610.7,615.24,612.42,612.99,4436.78281505
2016-10-01,608.66,615.9,615.65,612.4,2911.8918914
2016-09-30,608.98,617.19,608.99,615.65,3480.01593911
2016-09-29,605.0,608.99,605.99,608.99,4626.81936993
2016-09-28,603.56,606.89,604.96,605.99,4106.83205706
2016-09-27,603.18,606.0,605.71,605.04,3710.0120722
2016-09-26,601.38,607.54,607.04,605.71,4345.51888885
2016-09-25,600.02,607.99,601.67,607.08,4292.32724007
2016-09-24,599.42,605.99,603.69,601.67,2577.17870414
2016-09-23,601.08,605.94,602.96,603.68,2646.49759755
2016-09-22,595.14,603.3,595.99,602.96,3759.0236907
2016-09-21,594.78,598.54,597.0,596.21,3998.40601014
2016-09-20,592.63,605.6,605.6,597.0,4885.89704059
2016-09-19,605.6,609.92,608.6,605.6,4601.69967614
2016-09-18,607.4,612.46,611.4,608.6,3096.46853792
2016-09-17,607.22,611.93,607.92,611.4,3091.45513304
2016-09-16,604.0,608.99,607.95,607.92,2942.64908837
2016-09-15,603.15,608.1,605.43,607.93,4171.00563277
2016-09-14,603.33,609.49,608.47,605.44,3965.6919502
2016-09-13,608.0,611.99,608.39,608.43,3744.74317438
2016-09-12,605.16,609.99,606.86,608.63,3888.07052292
2016-09-11,603.0,609.45,607.94,606.74,3986.16471563
